libsigc++-3.0 3.8.1-1.1
libsixel 1.10.5-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.22-1.1
libsoup3 3.6.6-2
libsoxr 0.1.3-4.1
libsrtp 1:2.8.0-1
libssc 0.4.3-1.1
libssh 0.12.0-1.1
libssh2 1.11.1-4.1
libstdc++ 16.1.1+r12+g301eb08fa2c5-2
libstemmer 3.1.1-1.1
libsysprof-capture 50.0-2.1
libtasn1 4.21.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-3.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.1
libtiff 4.7.1-2.1
libtiger 0.3.4-8.1
libtirpc 1.3.7-1.1
libtommath 1.3.0-2.1
libtool 2.6.1-1
libtsan 16.1.1+r12+g301eb08fa2c5-2
libubsan 16.1.1+r12+g301eb08fa2c5-2
libunibreak 7.0-1.1
libunistring 1.4.2-1.1
libunwind 1.8.2-1.1
libupnp 1.14.31-1.1
liburcu 0.15.6-1.1
liburing 2.14-1.1
libusb 1.0.30-1.1
libusb-compat 0.1.9-1.1
libusbmuxd 2.1.1-2.1
libutempter 1.2.3-1.1
libutf8proc 2.11.3-1.1
libuv 1.52.1-1
libva 2.23.0-1.1
libvdpau 1.5-4.1
libverto 0.3.2-6.1
libvlc 3.0.23_2-9.1
libvorbis 1.3.7-4.1
libvpl 2.16.0-2.1
libvpx 1.16.0-3.1
libvterm 0.3.3-2.1
libwacom 2.19.0-1
libwbclient 2:4.24.3-1.1
libwebp 1.6.0-2.1
libwireplumber 0.5.15-1.1
libx11 1.8.13-1.1
libx86emu 3.7-2.1
libxau 1.0.12-1.1
libxaw 1.0.16-2.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcrypt-compat 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-2.1
libxext 1.3.7-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.7-1.1
libxft 2.3.9-1.2
libxi 1.8.3-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.2-1.1
libxkbcommon-x11 1.13.2-1.1
libxkbfile 1.2.0-1.1
libxml2 2.15.3-1.1
libxmlb 0.3.27-1.1
libxmu 1.3.1-1.1
libxpm 3.5.19-1.1
libxpresent 1.0.2-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lilv 0.28.0-1
limine 12.3.3-1
limine-mkinitcpio-hook 1.36.0-1
limine-snapper-sync 1.30.1-1
linux-api-headers 1:7.0-1
linux-cachyos 7.1.1-2
linux-cachyos-headers 7.1.1-2
linux-cachyos-lts 6.18.36-1
linux-cachyos-lts-headers 6.18.36-1
linux-firmware 1:20260519-1
linux-firmware-amdgpu 1:20260519-1
linux-firmware-atheros 1:20260519-1
linux-firmware-broadcom 1:20260519-1
linux-firmware-cirrus 1:20260519-1
linux-firmware-intel 1:20260519-1
linux-firmware-mediatek 1:20260519-1
linux-firmware-nvidia 1:20260519-1
linux-firmware-other 1:20260519-1
linux-firmware-radeon 1:20260519-1
linux-firmware-realtek 1:20260519-1
linux-firmware-whence 1:20260519-1
lirc 1:0.10.2-6.1
litehtml0.9 0.9-2.1
live-media 2025.05.24-1.2
lld 22.1.6-1.1
llhttp 9.3.1-1.1
llvm 22.1.6-2
llvm-libs 22.1.6-2
llvm21-libs 21.1.8-1.1
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
logrotate 3.22.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1.1
lsscsi 0.32-2.2
lua 5.5.0-2.2
lua51 5.1.5-13.1
lua51-lpeg 1.1.0-5
lua54 5.4.8-6.1
luajit 2.1.1780076327+b925b3e-1.1
lv2 1.18.10-2.1
lvm2 2.03.41-1.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.21-2.1
mailcap 2.1.54-2
make 4.4.1-3.1
man-db 2.13.1-1.1
man-pages 6.18-1
md4c 0.5.3-1.1
mdadm 4.6-2
media-player-info 26-1
meld 3.24.0-1
mesa 3:26.1.2-1
mesa-utils 9.0.0-7.1
micro 2.0.15-3.1
milou 6.7.1-1.1
minizip 1:1.3.2-3.1
mjpegtools 2.2.1-4.1
mkinitcpio 41-5
mkinitcpio-busybox 1.36.1-1.1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1.1
modemmanager-qt 6.27.0-1.1
mpdecimal 4.0.1-3.1
